state,latitude,longitude,date,rainfall_mm,river_level_mm,floodrisk
Bihar,26.8169,84.9034,25/07/2024,71,4674,
Kerala,9.7947,76.6059,13/09/2024,27.2,3775,
Maharashtra,19.5996,76.746,29/06/2024,93.8,4475,
Gujarat,23.1379,70.6239,06/06/2024,38.6,3717,
Gujarat,20.8289,72.687,12/07/2024,27.9,3613,
Tamil Nadu,11.905,78.7922,08/08/2024,92.7,4656,
Uttar Pradesh,26.7618,80.9047,08/07/2024,47.8,4179,
Karnataka,14.7399,76.9253,23/10/2024,0,3093,
West Bengal,21.2177,88.4423,04/11/2024,28.3,3833,
Gujarat,22.2566,70.6065,04/11/2024,6.5,3337,
Gujarat,20.822,72.1667,07/10/2024,20.3,3780,
Assam,25.4244,90.563,23/10/2024,21.8,4166,
Tamil Nadu,9.9164,79.1219,16/11/2024,0,3592,
Bihar,26.5106,86.7579,11/10/2024,0,3913,
Gujarat,20.9804,72.3348,25/07/2024,87.4,3790,
Kerala,10.3307,75.1841,21/10/2024,0,3533,
Maharashtra,18.8688,75.6612,08/07/2024,50.8,4159,
Maharashtra,20.8254,74.6033,02/10/2024,0,3449,
Maharashtra,20.2873,75.7092,20/10/2024,0,3393,
Gujarat,21.6963,70.8303,12/10/2024,0,3206,
West Bengal,23.5057,87.2071,14/10/2024,0,3453,
Tamil Nadu,11.9471,77.222,03/07/2024,77.4,3486,
Kerala,9.4244,77.2266,05/09/2024,97.9,5237,
Gujarat,21.5233,69.8616,09/11/2024,3.8,3519,
Odisha,19.4067,83.4578,12/07/2024,54.8,4538,
Karnataka,14.4928,74.5624,23/09/2024,91.2,4102,
Assam,26.6956,92.5222,04/06/2024,88.8,4481,
Karnataka,14.929,74.9172,03/09/2024,40.8,4223,
Odisha,21.6474,85.3312,25/11/2024,0,3720,
Odisha,22.3777,85.6856,29/09/2024,86.6,5013,
Uttar Pradesh,27.8997,81.1012,13/06/2024,14.5,4158,
Assam,27.6859,91.7662,12/07/2024,96.9,4582,
Gujarat,22.7809,71.0473,22/09/2024,62.9,3997,
West Bengal,21.8643,87.2264,11/06/2024,58.6,3964,
Gujarat,23.251,72.2557,21/06/2024,79.4,4237,
Uttar Pradesh,28.23,81.3132,08/06/2024,18.4,4064,
Maharashtra,19.169,76.1658,06/11/2024,0,3416,
Bihar,24.5351,84.9025,23/09/2024,40,4226,
Tamil Nadu,10.3535,77.5436,08/07/2024,48.5,3616,
Odisha,21.3248,84.2863,11/07/2024,99.1,4699,
Bihar,25.7874,85.7396,12/08/2024,62.9,4399,
Gujarat,22.0264,72.167,31/07/2024,0,3118,
Gujarat,22.194,70.7282,14/07/2024,0,3401,
Assam,25.8651,92.3971,22/11/2024,0,4141,
Maharashtra,20.6295,74.8095,04/09/2024,106.3,4597,
Kerala,9.9358,75.5103,07/06/2024,53.6,4689,
West Bengal,22.5201,88.5562,04/10/2024,0,3524,
Tamil Nadu,10.6396,79.4259,30/06/2024,130.3,4402,
Maharashtra,19.151,75.5074,03/11/2024,4.1,3402,
Tamil Nadu,11.923,78.8569,20/10/2024,9,3353,
Assam,24.7211,92.3486,03/08/2024,7.4,4166,
Kerala,8.5585,75.9894,09/07/2024,69.1,4462,
Karnataka,15.6003,75.0057,18/09/2024,23.8,3617,
Assam,26.3846,90.5089,05/06/2024,2.7,3968,
Maharashtra,21.1404,76.5328,21/07/2024,65.4,4219,
Uttar Pradesh,26.4362,79.4682,20/10/2024,25.4,4073,
Assam,27.465,92.9916,28/07/2024,11.1,3998,
Maharashtra,19.9163,75.8942,20/11/2024,0,3501,
Tamil Nadu,10.2736,79.7785,09/08/2024,55.9,3731,
Tamil Nadu,9.8603,79.9755,10/11/2024,0,3186,
Odisha,21.867,85.6414,21/11/2024,35.7,3788,
West Bengal,23.7179,88.476,20/06/2024,109.8,5262,
West Bengal,23.3409,87.436,17/06/2024,64.4,4195,
Gujarat,21.636,71.5848,08/07/2024,138.5,4037,
Gujarat,20.8018,69.7632,05/11/2024,13.6,3863,
Odisha,19.7813,83.8661,10/10/2024,25.3,4300,
Bihar,25.5149,85.9276,21/09/2024,63.3,4443,
Kerala,10.2852,76.2039,17/10/2024,23.4,3569,
Assam,25.7053,92.0745,20/06/2024,0,4192,
Karnataka,16.1161,77.0004,18/10/2024,0,3316,
Maharashtra,19.0838,76.2491,26/07/2024,16.5,3519,
Gujarat,21.1838,70.9891,16/07/2024,0,3131,
West Bengal,21.2677,89.028,05/07/2024,116.5,4275,
Karnataka,15.0564,75.8389,14/09/2024,0,3490,
Karnataka,14.6234,74.3919,12/08/2024,42.2,4056,
Kerala,8.8238,75.2818,09/06/2024,115.6,4068,
Bihar,26.259,85.6493,18/10/2024,6,3753,
Karnataka,14.9288,75.3074,15/10/2024,27.2,3414,
Assam,25.6354,93.0184,18/09/2024,61.6,4316,
Tamil Nadu,11.954,80.0277,16/11/2024,19.5,3422,
Tamil Nadu,10.2385,79.4093,26/09/2024,90,3657,
West Bengal,23.0719,89.3116,12/11/2024,34.8,4293,
Kerala,11.3234,76.5142,06/06/2024,114.1,5147,
Kerala,11.333,75.3721,14/08/2024,80.1,3826,
Kerala,8.8208,75.3693,09/06/2024,85.5,3971,
West Bengal,21.461,88.7868,19/11/2024,0,3561,
Maharashtra,20.9172,74.2316,27/10/2024,0.5,3590,
Gujarat,22.7116,71.432,15/08/2024,110.7,4186,
Gujarat,21.2666,71.8271,16/09/2024,7.2,3307,
Odisha,22.0867,85.6401,15/10/2024,18.2,3821,
Uttar Pradesh,25.4287,81.4111,03/11/2024,0,3689,
West Bengal,21.6635,88.9076,16/11/2024,0,3525,
Uttar Pradesh,26.1103,81.1912,30/10/2024,22.2,4185,
West Bengal,21.5367,88.2299,08/11/2024,0,3701,
Assam,24.974,91.317,02/07/2024,92.7,5067,
Gujarat,21.9005,72.4797,09/09/2024,45.8,3489,
Karnataka,14.6027,76.638,07/07/2024,96.4,3741,
Tamil Nadu,10.6664,77.2611,15/10/2024,0,3095,
Maharashtra,19.2866,75.2752,07/08/2024,31.1,3527,
Bihar,24.6532,86.7097,24/11/2024,30.5,3856,
Maharashtra,21.0893,74.9184,26/10/2024,7.8,3392,
Gujarat,21.5723,70.271,23/10/2024,19.4,3851,
Bihar,26.8894,84.0345,14/06/2024,90.8,4783,
Gujarat,22.2705,71.8655,17/08/2024,36.1,3569,
Kerala,10.7774,77.8972,21/08/2024,98.9,5328,
Tamil Nadu,9.7142,80.0347,01/07/2024,9.2,3289,
Maharashtra,18.4122,75.9801,25/06/2024,78.4,3759,
West Bengal,22.7458,88.9104,22/08/2024,97.6,5374,
Tamil Nadu,11.2831,79.664,04/06/2024,47.5,3468,
Maharashtra,20.4277,75.2881,21/09/2024,29.5,3772,
Odisha,20.27,83.7327,07/06/2024,133.3,4504,
West Bengal,21.4801,87.8741,04/11/2024,31.6,4294,
Gujarat,21.0249,72.4087,21/11/2024,0,3738,
Tamil Nadu,12.5621,77.5274,27/10/2024,12.2,3508,
Gujarat,23.2031,70.0198,21/08/2024,0,3226,
Gujarat,22.1662,70.7129,17/08/2024,21.2,3621,
Uttar Pradesh,26.3372,81.5954,07/08/2024,64.7,4433,
Odisha,22.1104,83.5448,08/10/2024,8.1,4190,
Karnataka,14.2995,75.3322,03/08/2024,92.5,4465,
Kerala,9.0143,76.3892,03/09/2024,51.4,4071,
Kerala,9.5507,75.6871,17/07/2024,95.4,4895,
Gujarat,22.1773,72.1631,27/08/2024,77.6,3517,
Odisha,22.3029,83.9575,31/08/2024,53.5,3995,
Tamil Nadu,11.5053,79.6427,01/06/2024,57.6,3784,
Gujarat,20.8179,71.5209,04/11/2024,15.6,3597,
Assam,25.043,91.1433,22/08/2024,35.1,4958,
Assam,25.3066,90.755,02/10/2024,16.7,3975,
Bihar,24.9661,83.9447,05/06/2024,90.9,4195,
Uttar Pradesh,28.106,80.4605,01/09/2024,77.4,4139,
Kerala,8.8245,75.4887,07/07/2024,95.1,4839,
Bihar,25.8819,84.7496,12/10/2024,28.2,4162,
Bihar,26.1297,84.46,21/09/2024,83.6,4992,
Tamil Nadu,12.2428,77.6434,22/08/2024,30,4097,
Tamil Nadu,10.1938,79.1426,04/11/2024,19.1,3524,
Bihar,27.0414,84.2299,28/06/2024,12,3962,
Maharashtra,19.17,74.3712,10/10/2024,9.7,3608,
Maharashtra,19.3944,76.0299,19/07/2024,14.8,3433,
Uttar Pradesh,26.0993,79.9875,09/06/2024,14.5,3984,
West Bengal,24.0215,89.6237,09/06/2024,35.6,4294,
Kerala,8.7626,76.8947,14/11/2024,9.5,3532,
West Bengal,23.8102,88.2696,24/10/2024,1.9,3880,
West Bengal,21.8619,88.9587,23/10/2024,9.6,4170,
West Bengal,21.9461,87.4405,19/08/2024,44.1,3928,
Odisha,20.4967,85.6431,28/10/2024,17.1,3658,
Karnataka,14.3329,77.0185,26/10/2024,1,3287,
Gujarat,21.574,69.8286,08/09/2024,39.6,3758,
Maharashtra,20.5509,75.2345,09/09/2024,118,4666,
Kerala,9.3227,76.269,18/10/2024,3.5,3561,
Odisha,21.8285,86.0592,06/10/2024,21,3956,
Odisha,20.3976,85.8654,06/11/2024,7.2,3643,
Bihar,26.3693,86.3807,14/07/2024,18.1,3824,
Karnataka,14.8044,76.6245,25/10/2024,28.9,3945,
Gujarat,23.5358,71.1904,14/11/2024,6.5,3328,
Gujarat,23.1627,72.4461,03/08/2024,72.8,4445,
Gujarat,21.8378,71.5271,12/06/2024,35.2,4175,
Uttar Pradesh,27.777,81.0343,31/08/2024,89.2,4344,
Uttar Pradesh,25.7832,80.4955,29/08/2024,93.2,4711,
Assam,26.0511,92.0111,02/10/2024,7.4,4371,
Odisha,21.6016,84.9417,26/06/2024,8,3665,
Kerala,8.6129,75.4588,09/11/2024,13.9,3444,
Gujarat,22.4044,70.1749,08/10/2024,24,4021,
Bihar,26.2665,86.1434,07/07/2024,81.2,4232,
West Bengal,23.7682,89.5713,23/09/2024,91.8,4818,
Maharashtra,20.5263,75.5722,03/07/2024,127.2,5002,
Odisha,22.2961,83.1723,23/11/2024,10.6,3777,
Tamil Nadu,11.0171,77.4316,05/08/2024,64.9,3966,
Bihar,27.3981,84.6689,23/08/2024,73.3,4329,
Gujarat,22.0429,70.9879,18/11/2024,16.4,3627,
Assam,25.4387,90.85,08/07/2024,117.4,4475,
Odisha,19.5227,85.4762,19/08/2024,102.6,4242,
West Bengal,23.1451,86.9031,14/06/2024,100.1,4606,
West Bengal,21.9006,88.2999,12/09/2024,14.5,3596,
Karnataka,16.3782,76.4427,18/10/2024,3.5,3360,
Assam,25.5584,90.966,31/10/2024,5.6,4081,
Uttar Pradesh,25.9086,80.0484,20/09/2024,10.5,3946,
Karnataka,15.6761,75.2484,01/10/2024,3,3351,
Uttar Pradesh,25.9601,79.6122,22/08/2024,24.6,4062,
Assam,25.6613,90.2426,14/11/2024,16.7,4202,
Gujarat,20.9554,70.4726,04/06/2024,91.6,4336,
West Bengal,23.0095,88.6585,11/10/2024,0,3595,
Kerala,10.8653,77.8136,17/06/2024,99.2,4183,
West Bengal,22.7462,88.9061,31/07/2024,95.9,4102,
Maharashtra,19.0264,76.957,27/07/2024,120.3,5005,
Maharashtra,19.3771,76.5194,31/10/2024,20.3,3562,
Kerala,9.5446,77.367,21/10/2024,18.7,3636,
Maharashtra,18.7806,76.0528,26/06/2024,51.2,3917,
Uttar Pradesh,26.3574,80.923,15/09/2024,29.5,4030,
West Bengal,21.7604,89.8778,14/07/2024,130.9,4474,
Kerala,9.2053,77.7197,20/09/2024,92.4,4224,
Karnataka,14.3808,76.0665,11/09/2024,9.3,3402,
Kerala,9.0867,75.9697,14/11/2024,1.8,3810,
Bihar,26.0611,84.2956,16/09/2024,0,4048,
Uttar Pradesh,26.3767,81.9234,14/06/2024,24.5,4045,
Tamil Nadu,10.9447,79.9467,23/11/2024,15.3,3677,
Uttar Pradesh,25.5567,81.1958,26/11/2024,0.8,3778,
Tamil Nadu,9.6606,78.7334,01/09/2024,42.8,3420,
Gujarat,23.1093,71.0324,05/07/2024,71.8,3805,
Bihar,25.552,84.3998,20/11/2024,21.2,3903,
Tamil Nadu,11.5902,77.5086,07/07/2024,60.9,3867,
Maharashtra,19.7709,75.0054,03/08/2024,33.7,4183,
Bihar,27.3016,84.9871,15/09/2024,95.8,4992,
Uttar Pradesh,25.5295,81.7687,02/11/2024,0,3734,
Tamil Nadu,11.9985,77.2873,16/06/2024,62.2,3923,
Karnataka,14.5445,75.6198,15/08/2024,15.8,3621,
Kerala,10.1213,77.68,20/09/2024,65.9,4366,
Tamil Nadu,11.6907,78.6321,29/07/2024,75.2,3615,
Tamil Nadu,9.9384,80.1297,30/07/2024,114.3,4911,
Bihar,24.722,84.0863,09/07/2024,48,4161,
Bihar,25.9541,86.6234,15/08/2024,97.4,4757,
Kerala,10.0466,75.4735,18/09/2024,33.6,3823,
Bihar,26.8484,86.115,13/06/2024,46.5,4207,
Karnataka,13.8468,74.9451,16/11/2024,15.9,3151,
Maharashtra,20.9736,74.872,09/07/2024,32,3734,
Bihar,25.8281,86.6356,21/07/2024,81.8,4389,
Gujarat,22.4342,72.1366,25/11/2024,23.4,3344,
Assam,25.28,91.2252,09/07/2024,74,4743,
Uttar Pradesh,27.823,81.0851,09/08/2024,64.7,4118,
Tamil Nadu,9.8829,78.8529,26/09/2024,96.1,4221,
Gujarat,23.1573,71.366,11/10/2024,35,3455,
Tamil Nadu,11.9613,79.1054,03/07/2024,93.2,3980,
Tamil Nadu,10.8379,78.5192,13/10/2024,28.2,3618,
West Bengal,21.2025,88.0516,30/06/2024,91.7,4630,
Maharashtra,18.8942,77.1541,08/08/2024,53,3880,
Karnataka,16.7134,76.3341,16/08/2024,37.7,3673,
Maharashtra,20.9862,75.8733,20/08/2024,68.8,3808,
West Bengal,21.9763,88.2433,29/06/2024,64,4393,
Gujarat,21.5966,71.1973,10/11/2024,3.5,3128,
Assam,26.3722,91.6497,28/06/2024,30.5,4782,
Gujarat,21.1596,72.264,16/07/2024,8.8,3232,
Tamil Nadu,11.0136,77.2129,28/07/2024,44.1,3601,
Maharashtra,19.6892,74.6085,07/10/2024,6.6,3441,
Kerala,9.3806,77.2653,17/11/2024,0,3531,
Bihar,25.0783,84.5893,29/08/2024,68.2,4530,
Tamil Nadu,9.8598,78.2201,21/07/2024,56.8,4092,
Maharashtra,20.495,74.7554,11/08/2024,48.5,3798,
Tamil Nadu,9.658,79.6318,10/07/2024,2.8,3492,
Karnataka,16.1054,76.7087,29/08/2024,4.1,3169,
Gujarat,21.4979,70.9092,03/09/2024,113.5,4736,
Gujarat,21.0199,71.8348,27/08/2024,104.4,4172,
Maharashtra,19.73,75.0353,28/09/2024,56.8,3985,
Kerala,9.5182,76.189,20/09/2024,93.2,5374,
Karnataka,14.0041,75.0573,11/09/2024,35.2,3616,
Tamil Nadu,12.001,78.1937,14/08/2024,117.8,4882,
Bihar,25.8961,86.6665,25/08/2024,39.5,3830,
Uttar Pradesh,27.9138,79.5924,27/11/2024,4.1,3922,
Odisha,22.1054,83.6693,16/11/2024,0,3575,
Uttar Pradesh,27.2825,79.4485,24/10/2024,20.1,4334,
Karnataka,15.4692,76.3554,08/09/2024,108.5,4561,
Assam,26.8297,91.047,01/07/2024,0,4139,
Karnataka,14.0336,76.1231,21/10/2024,17.6,3298,
Maharashtra,18.4348,76.2533,09/10/2024,11.7,3504,
Assam,25.2777,90.5634,03/10/2024,17.8,4091,
West Bengal,22.1692,88.111,30/06/2024,56.1,3916,
Kerala,11.482,77.279,15/10/2024,16,3669,
Bihar,26.7388,85.5253,05/09/2024,74.6,4577,
Assam,25.3924,93.0272,28/09/2024,28.8,4386,
Maharashtra,20.0964,74.2727,20/08/2024,34.4,4291,
Bihar,25.2586,84.6413,19/08/2024,70.1,5124,
Kerala,9.1164,76.8307,17/11/2024,8.6,3394,
Odisha,20.0557,83.7523,20/09/2024,92.7,4714,
West Bengal,23.8722,87.4758,18/09/2024,17.9,3954,
Uttar Pradesh,25.3867,80.9519,05/10/2024,0.8,4035,
Bihar,24.5409,86.0103,12/10/2024,16,4145,
Bihar,25.2814,84.8086,10/10/2024,18.3,4001,
Maharashtra,19.9327,76.306,27/10/2024,28.7,3675,
Bihar,25.5655,85.8438,29/07/2024,63.9,4538,
Odisha,21.2647,83.6408,18/10/2024,15.5,3883,
Kerala,8.7683,76.066,11/07/2024,64.4,4474,
Odisha,19.8856,84.7533,10/10/2024,14.5,3626,
Karnataka,14.078,75.5428,06/10/2024,0,3132,
Karnataka,14.167,75.129,31/10/2024,17.6,3385,
Kerala,9.7452,75.8206,05/10/2024,31.6,3848,
Uttar Pradesh,25.9145,81.2968,20/11/2024,0,3852,
Karnataka,16.2825,77.1502,18/08/2024,12.3,3639,
Karnataka,14.4847,76.8235,30/10/2024,0,3493,
Bihar,24.6015,84.4669,04/07/2024,51,4870,
Karnataka,14.2496,74.9436,15/07/2024,30.8,3851,
Maharashtra,18.9584,75.0001,20/11/2024,8.3,3709,
Tamil Nadu,12.5323,78.0598,10/08/2024,88.4,4130,
Karnataka,13.8376,75.1796,19/11/2024,42.6,3618,
Odisha,19.5701,84.5295,08/07/2024,75.2,4403,
Kerala,11.3385,76.191,02/07/2024,64.6,4005,
Gujarat,21.2945,71.6412,03/09/2024,83.5,3825,
Assam,24.7605,93.0036,18/06/2024,19.4,4084,
West Bengal,21.8811,87.1464,27/11/2024,18,4238,
West Bengal,23.606,88.3484,05/08/2024,34,3636,
Odisha,21.1444,84.3753,25/06/2024,55.1,4405,
West Bengal,23.3531,87.4116,18/09/2024,27.6,3980,
Uttar Pradesh,28.2899,81.7268,11/08/2024,48.7,4220,
Gujarat,22.3513,71.4991,22/06/2024,68.1,4345,
Odisha,19.9365,84.0547,16/11/2024,13.4,3919,
Maharashtra,20.8818,75.7512,15/10/2024,9.5,3468,
Odisha,19.9715,85.329,04/08/2024,33.5,4526,
Kerala,10.355,77.7287,28/10/2024,17.6,3904,
Maharashtra,19.2967,74.4847,24/08/2024,0,3724,
Kerala,10.1884,76.7146,24/08/2024,91.7,5192,
Tamil Nadu,12.3172,77.31,31/07/2024,50.9,3995,
Maharashtra,20.0002,76.8525,27/10/2024,0,3485,
Bihar,25.315,85.5145,15/10/2024,0,3616,
Maharashtra,20.4907,74.351,23/09/2024,67.4,3788,
Assam,25.4862,93.1909,08/09/2024,56.7,4478,
Gujarat,22.4201,70.2013,08/11/2024,36.5,3867,
Tamil Nadu,10.5623,79.8974,27/08/2024,86.9,3665,
Assam,26.8948,90.5635,15/07/2024,35.3,4320,
Gujarat,21.546,71.2007,20/09/2024,20.4,3798,
Karnataka,16.3115,74.3595,07/10/2024,12.8,3235,
Bihar,25.6565,84.8409,30/09/2024,107.9,5202,
Uttar Pradesh,27.908,80.3786,03/10/2024,15,4002,
Karnataka,14.5722,74.4007,21/09/2024,98.3,4849,
Bihar,26.9725,86.317,27/06/2024,79,4098,
Maharashtra,19.7835,75.9437,03/08/2024,21,3625,
West Bengal,23.1773,88.3142,03/08/2024,74.7,4865,
Odisha,20.868,84.2809,23/10/2024,28.9,3737,
Bihar,25.143,84.1323,22/08/2024,123.5,5758,
Assam,27.1602,92.0228,04/09/2024,80,4698,
West Bengal,22.7407,87.409,17/10/2024,0,3900,
Odisha,20.8322,83.2532,11/11/2024,2.3,3559,
Uttar Pradesh,26.0007,82.2448,19/09/2024,86.9,4670,
West Bengal,21.1484,88.6093,20/07/2024,58.9,4575,
,18.6429,75.2536,09/10/2024,18.5,3570,
Bihar,26.7292,84.4,21/10/2024,11.5,3790,
Assam,27.0834,92.8328,18/08/2024,63.5,4383,
Bihar,24.6062,85.3169,03/07/2024,0,4218,
Kerala,8.6293,77.4617,09/10/2024,19.9,3731,
Tamil Nadu,9.7615,79.077,14/09/2024,72.5,4154,
Karnataka,16.1411,75.0902,18/11/2024,9,3369,
Bihar,25.3742,83.9632,20/06/2024,60.5,4330,
Assam,24.7687,91.9437,01/06/2024,8.1,3998,
Odisha,22.2058,83.3442,08/10/2024,9.8,3845,
